Z:\data\JTB-E02\BACandBLUE\,JTB-E02-189-23.D,,,,JTB-E02-189-05.D,JTB-E02-189-018.D,JTB-E02-189-19.D,JTB-E02-189-20.D,JTB-E02-189-21.D,JTB-E02-189-22.D,JTB-E02-189-24.D
197,32.0403,"Benzenamine, 3-methoxy- (CAS) $$ 3-Methoxyaniline $$ m-Anisidine $$ m-Anisylamine $$ m-Aminoanisole $$ 3-Aminoanisole $$ m-Methoxyaniline $$ 1-Amino-3-methoxybenzene $$ 3-Methoxybenzenamine $$ 3-Anisidine",0.0502,58,32.004,32.034,,32.045,32.042,32.043,34.816
,,,,,32.333,32.561,,32.392,32.383,,
,,,,,32.367,,,,,,
198,32.6013,"1H-Indole, 5-methyl-2-phenyl- (CAS) $$ 5-Methyl-2-phenylindole $$ 2-Phenyl-5-methylindole $$ Indole, 5-methyl-2-phenyl-",0.0134,35,,,,,,,35.001
199,32.7155,"5,6,8,9-TETRAMETHOXY-2-METHYLPEPERO(3,4,5-JK)-9,10-DIHYDROPHENANTHRACENE $$ 4H-Dibenz[de,g]isoquinoline, 5,6,6a,7-tetrahydro-1,2,9,10-tetramethoxy-5-methyl- (CAS)",0.0106,50,32.716,32.711,32.709,32.722,,32.716,35.458
200,32.9303,"Naphthalene, 2,7-dimethyl- (CAS) $$ 2,7-Dimethylnaphthalene",0.0196,95,,32.933,,32.934,32.927,32.933,35.534
201,33.0321,"(+)-(R)-p-Mentha-1,8(10)-dien-9-ol",0.0697,78,33.033,33.031,,33.033,33.032,33.034,35.796
202,33.1297,"5-methoxy-2,2-di-methylindan-1-one $$ 1H-Inden-1-one, 2,3-dihydro-4-methoxy-2,2-dimethyl-",0.1315,83,33.14,33.129,33.142,33.131,33.131,33.134,36.178
203,33.388,"Benzene, 1,2-dimethoxy-4-(2-propenyl)- (CAS) $$ Methyleugenol $$ Methyl Eugenol $$ 1-Allyl-3,4-dimethoxybenzene $$ Ent 21040 $$ O-Methyleugenol $$ 4-Allylveratrole $$ Methyl eugenol ether $$ Eugenol methyl ether $$ Eugenyl methyl ether $$ Veratrole methyl",0.0292,98,,33.393,,33.391,33.39,33.395,36.349
,,,,,33.262,,,,,,
204,33.5837,1H-Pyrrole-2-carboxaldehyde (CAS) $$ 2-Formylpyrrole $$ Pyrrole-2-aldehyde $$ Pyrrole-2-carboxaldehyde $$ 2-Pyrrolylcarboxaldehyde $$ .alpha.-Pyrrolaldehyde $$ 2-Pyrrolecarbaldehyde $$ 2-Pyrrolecarboxaldehyde,0.0267,72,33.56,33.584,,33.583,33.588,33.586,36.429
205,33.6774,"1,8-Naphthyridine, 2,4,7-trimethyl- (CAS)",0.0122,59,34.6,33.683,,33.687,33.688,33.675,36.999
,,,,,,33.909,,33.818,,33.929,
206,34.5909,2-Methyl-7-phenylindole,0.0165,40,,34.591,,34.593,34.593,34.603,37.121
207,34.8119,CYCLOISOLONGIFOLENE,0.0096,43,,34.809,,34.811,34.812,34.814,
,,,,,34.935,34.999,,,,,
,,,,,34.997,,,,,,
208,35.002,"Phenol, 4-methyl- (CAS) $$ p-Cresol $$ p-Toluol $$ 4-Cresol $$ p-Kresol $$ p-Oxytoluene $$ p-Methylphenol $$ p-Cresylic acid $$ p-Tolyl alcohol $$ 4-Hydroxytoluene $$ p-Hydroxytoluene $$ 4-Methylphenol $$ p-Methylhydroxybenzene $$ 1-Hydroxy-4-methylbenzen",0.0105,90,35.02,,,34.997,34.995,35.006,
,,,,,35.192,35.19,,,,,
,,,,,35.739,,,,,,
209,35.4559,"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methylethyl)-, (1S-cis)- (CAS) $$ Calamenene $$ l-Calamenene $$ (-)-Calamenene $$ Calamenene, (-)- $$ Cadina-1,3,5-triene $$ Cadina-1,3,5-triene, (-)-",0.0346,90,,35.459,,35.46,35.457,35.456,
210,35.7985,"1H-Inden-1-one, 2,3-dihydro-3,3,5,7-tetramethyl- (CAS) $$ 3,3,5,7-TETRAMETHYL-1-INDANONE",0.0386,83,35.799,35.796,35.806,35.798,35.798,35.801,
,,,,,,,,,,36.039,
,,,,,,,,,,,
211,36.1767,ETHYL CINNAMATE,0.0147,93,,36.18,,36.175,36.174,36.182,
212,36.3673,"1,4,7,10,13,16-Hexaoxacyclooctadecane (CAS) $$ 18-Crown-6 ether $$ 18-CRONEN-6-ETHER $$ ETHYLENE OXIDE HEXAMER $$ Ethylene oxide cyclic hexamer $$ 18-Crown-6 $$ Crown ether 18-crown-6 $$ 1,4,7,10,13,16-Hexanoxacyclooctadecane",0.0072,46,36.368,36.351,36.362,36.357,36.367,36.369,
,,,,,36.426,36.768,,36.762,,,
213,36.9993,"Phenol, 2-methoxy-4-(2-propenyl)- (CAS) $$ Eugenol $$ 1-(2-PROPENYL)-4-HYDROXY-3-METHOXYBENZENE $$ Engenol $$ p-Eugenol $$ Eugenic acid $$ 4-Allylguaiacol $$ p-Allylguaiacol $$ Caryophyllic acid $$ 4-Allyl-2-methoxyphenol $$ 2-Methoxy-4-allylphenol $$ Phe",0.055,98,36.993,36.996,,,36.998,37,
,,,,,37.093,,,37.002,,,
214,37.1163,"Naphthalene, 2,3,6-trimethyl- (CAS) $$ 2,3,6-Trimethylnaphthalene",0.0116,87,37.12,37.121,,37.126,37.121,37.127,
,,,,,37.287,,,37.279,,,
,,,,,37.408,,,,,,
